City/Region,Lat,Long,Notes
Actium,38.92,20.8,
Alexandrium,,,
Allobrogibus,,,
Alyzia,38.713373,20.951657,
Arpinati,,,
Astura,41.408855,12.765272,
Athens,37.98,23.73,
Attici Ficuleano house,,,
Brindisium,40.638663,17.942912,
Brundisium,40.638663,17.942912,
Caesars,,,
Campania,41.25,14.25,-- Cumae
Capua,41.086092,14.250207,
Cilicia,38.25,35.75,
Corcyra,39.606285,19.91558,
Corduba,37.884683,-4.779171,
Cumanum,40.5,14.3,
Cyprum,35.1,33.22,-- Nicosia
Dertona,44.897171,8.865452,
Dyrrhachium,41.314409,19.447355,
Eporedia,45.466604,7.875942,
Formium,,,
Gallia,,,
Hispania,,,
Iconium,37.872202,32.492331,
Intimilium,43.47,7.36,
Lanuvium,41.674703,12.697593,
Laterium,41.65,13.6,
Latium,41.53,12.3,-- Rome
Laudicea,37.5,29.06,
Lepidus,,,
Maium,,,
Menturnis,41.242193,13.768467,
Mopsuhestia,36.57,35.37,
Mytilens,39.6,26.33,
Narona,43.063722,17.613419,
Neapolium,40.5,14.15,
Parma,44.801507,10.327967,
Patra,38.248795,21.734916,
Perga,36.57,30.51,
Pindenessus,36.75,36.33,
Pindenissus,36.75,36.33,
Pollentia,44.686768,7.895976,
Pompeiano house,,,
Pomptinum,,,
Ponte,,,
Pyramus,,,
Regium,38.110708,15.647027,
Rhodium,36.1,27.56,
Roma,41.53,12.3,
Sicilia,37.75,13.25,
Sidae,38.9,22.53,
Syria,37.5,37.5,
Tadolics,,,
Tarsium,,,
Thessalonica,40.634097,22.951647,
Tusculanum,36.92,34.9,
Velia,40.160744,15.155092,
Vercells,,,
Voconium,,,